AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0731600,Avon Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,4,0,0,1,0,0
MN0740000,Steele County Sheriff,Steele,2010,0,0,0,1,0,0,0,0,0,0,1,0,26,0,34,68,15,2,0,1,0,25,0,4,19,5,2
MN0740100,Owatonna Police Dept,Steele,2010,0,0,0,6,0,1,2,2,0,0,4,4,183,0,76,386,20,3,0,1,3,165,0,17,154,5,2
MN0740200,Blooming Prairie Police Dept,Steele,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0750000,Stevens County Sheriff,Stevens,2010,0,0,0,0,0,0,0,1,0,0,2,0,13,0,23,26,2,0,0,1,0,7,0,5,6,1,0
MN0750100,Morris Police Dept,Stevens,2010,0,0,0,0,0,0,0,0,0,0,9,0,51,0,12,98,4,0,0,9,0,47,0,8,34,3,0
MN0750600,University of MN Police Dept - Morris,Stevens,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,28,1,0,0,0,0,1,0,0,0,0,0
MN0760000,Swift County Sheriff,Swift,2010,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,11,4,0,0,0,0,6,0,3,2,1,0
MN0760100,Appleton Police Dept,Swift,2010,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,34,2,0,0,0,0,22,0,3,14,0,0
MN0760200,Benson Police Dept,Swift,2010,0,0,0,0,0,1,6,1,0,0,2,0,26,0,23,35,3,0,0,1,0,26,0,8,10,1,0
MN0770000,Todd County Sheriff,Todd,2010,0,1,0,1,0,7,11,0,0,0,8,1,64,0,98,147,9,1,0,6,1,54,0,18,24,5,0
MN0770100,Long Prairie Police Dept,Todd,2010,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,60,1,0,0,0,0,8,0,1,24,0,0
MN0770200,Staples Police Dept,Todd,2010,0,0,0,1,0,1,0,0,0,0,0,0,18,0,20,98,4,0,0,0,0,15,0,6,52,2,0
MN0780000,Traverse County Sheriff,Traverse,2010,0,0,0,0,0,0,2,0,0,0,0,0,14,0,10,18,2,0,0,0,0,11,0,1,5,1,0
MN0780100,Browns Valley Police Dept,Traverse,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0780200,Wheaton Police Dept,Traverse,2010,0,0,0,1,0,0,0,0,0,0,3,0,14,0,5,30,1,0,0,3,0,13,0,1,5,1,0
MN0790000,Wabasha County Sheriff,Wabasha,2010,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,21,4,0,0,0,0,12,0,0,1,0,0
MN0790100,Lake City Police Dept,Wabasha,2010,0,1,0,1,0,0,1,0,0,0,2,1,18,0,11,142,6,0,0,1,1,13,0,1,49,2,0
